"date","plantgen","n","roya_mn","roya_upr","roya_lwr","hoja_mn","hoja_upr","hoja_lwr","inf_mn","inf_upr","inf_lwr"
Feb 2015,"original",589,8.85720720299542,9.53767183803448,8.22068321506094,357.83109679414,373.641812395689,342.689414259929,0.0202290086204271,0.0221234535622305,0.0184897706691308
Mar 2015,"all",590,3.15867092273266,3.40983698711534,2.92181023790977,416.529744432025,433.436848806004,400.282136773889,0.00537757972649203,0.00586959781835643,0.00492080122348318
Mar 2015,"original",590,3.15867092273266,3.40983698711534,2.92181023790977,416.529744432025,433.436848806004,400.282136773889,0.00537757972649203,0.00586959781835643,0.00492080122348318
Apr 2015,"all",588,1.2552446706876,1.36581125527776,1.14984543391553,481.523717804453,500.734500732844,463.049960545717,0.00191702047285604,0.00210525063609218,0.0017402002080481
Apr 2015,"original",588,1.2552446706876,1.36581125527776,1.14984543391553,481.523717804453,500.734500732844,463.049960545717,0.00191702047285604,0.00210525063609218,0.0017402002080481
May 2015,"all",587,1.46092435268519,1.58956750647516,1.33867186489472,587.983303028586,610.369856337527,566.417821998772,0.0021027109605117,0.00230862246820058,0.00190961431743981
May 2015,"original",587,1.46092435268519,1.58956750647516,1.33867186489472,587.983303028586,610.369856337527,566.417821998772,0.0021027109605117,0.00230862246820058,0.00190961431743981
Jun 2015,"all",584,3.53973569304276,3.85763476223419,3.24264095005931,715.501212988034,742.02739136945,689.923298980288,0.00452256472505185,0.00496407892837585,0.00411373533258931
Jun 2015,"original",584,3.53973569304276,3.85763476223419,3.24264095005931,715.501212988034,742.02739136945,689.923298980288,0.00452256472505185,0.00496407892837585,0.00411373533258931
Aug 2015,"all",584,7.95729178940593,8.65834415027119,7.30712541945465,739.060240370283,766.417518745324,712.679480226865,0.0101467989204641,0.0111120584206585,0.00925846489985015
Aug 2015,"original",584,7.95729178940593,8.65834415027119,7.30712541945465,739.060240370283,766.417518745324,712.679480226865,0.0101467989204641,0.0111120584206585,0.00925846489985015
Sep 2015,"all",585,14.9210465070531,16.2325515235582,13.7093552300263,787.360737368333,817.562293549688,758.274856411938,0.0188199181610055,0.0205919498525107,0.0171933154991686
Sep 2015,"original",585,14.9210465070531,16.2325515235582,13.7093552300263,787.360737368333,817.562293549688,758.274856411938,0.0188199181610055,0.0205919498525107,0.0171933154991686
Nov 2015,"all",576,23.0665293351919,25.1761546586985,21.126925890896,601.586380530149,627.53693854482,576.708956891973,0.0350926513924212,0.0386813912312496,0.0318284730982155
Nov 2015,"original",576,23.0665293351919,25.1761546586985,21.126925890896,601.586380530149,627.53693854482,576.708956891973,0.0350926513924212,0.0386813912312496,0.0318284730982155
Dec 2015,"all",576,25.3090473403918,27.6933747110445,23.1228499236986,555.097140233641,579.480020648962,531.740222467873,0.041405706609234,0.0457717236901121,0.0374472457107369
Dec 2015,"original",576,25.3090473403918,27.6933747110445,23.1228499236986,555.097140233641,579.480020648962,531.740222467873,0.041405706609234,0.0457717236901121,0.0374472457107369
Jan 2016,"all",568,27.2392783116004,29.8294367181394,24.8667340195293,466.295457218475,486.697610674291,446.748553216336,0.0527754517618296,0.0584963173793465,0.0476046757104452
Jan 2016,"original",568,27.2392783116004,29.8294367181394,24.8667340195293,466.295457218475,486.697610674291,446.748553216336,0.0527754517618296,0.0584963173793465,0.0476046757104452
Feb 2016,"all",556,25.2196391723715,27.6114363024016,23.0277863391169,400.098683796634,418.541400334298,382.46863189147,0.055693810455426,0.0617583333133941,0.0502153203289386
Feb 2016,"original",556,25.2196391723715,27.6114363024016,23.0277863391169,400.098683796634,418.541400334298,382.46863189147,0.055693810455426,0.0617583333133941,0.0502153203289386
Mar 2016,"all",541,12.4306593159076,13.4477585425128,11.4851622574669,348.741313817667,365.185046203973,333.038017924047,0.0312466719226495,0.0342915313026109,0.0284645149050266
Mar 2016,"original",541,12.4306593159076,13.4477585425128,11.4851622574669,348.741313817667,365.185046203973,333.038017924047,0.0312466719226495,0.0342915313026109,0.0284645149050266
Apr 2016,"all",535,3.52852013419772,3.83497137913914,3.2414924510857,415.520252557257,434.333402846961,397.521993826672,0.00611611159962727,0.00673271410125824,0.0055486766528857
Apr 2016,"original",535,3.52852013419772,3.83497137913914,3.2414924510857,415.520252557257,434.333402846961,397.521993826672,0.00611611159962727,0.00673271410125824,0.0055486766528857
May 2016,"all",534,1.17752007452867,1.28871992204227,1.07172298773207,576.254648779019,599.953410054184,553.492012337158,0.0016141450719102,0.00177795992025004,0.00145999029977989
May 2016,"original",534,1.17752007452867,1.28871992204227,1.07172298773207,576.254648779019,599.953410054184,553.492012337158,0.0016141450719102,0.00177795992025004,0.00145999029977989
Jun 2016,"all",531,1.6913740147323,1.86104211695644,1.53176772346219,637.599242304081,664.043782697961,612.20781577839,0.00225440205042611,0.00249824698701147,0.00202755429937942
Jun 2016,"original",531,1.6913740147323,1.86104211695644,1.53176772346219,637.599242304081,664.043782697961,612.20781577839,0.00225440205042611,0.00249824698701147,0.00202755429937942
Jul 2016,"all",525,4.68780921892377,5.12635682208459,4.28065449832324,731.167507052244,761.731260483711,701.830095602891,0.00588019445406078,0.00646682941585909,0.00533964874370207
Jul 2016,"original",525,4.68780921892377,5.12635682208459,4.28065449832324,731.167507052244,761.731260483711,701.830095602891,0.00588019445406078,0.00646682941585909,0.00533964874370207
Sep 2016,"all",517,9.64517713476209,10.5688986276858,8.79521040656998,722.751113134026,753.83226198798,692.951466628531,0.012444094549558,0.0137226094311965,0.0112766062023263
Sep 2016,"original",517,9.64517713476209,10.5688986276858,8.79521040656998,722.751113134026,753.83226198798,692.951466628531,0.012444094549558,0.0137226094311965,0.0112766062023263
Nov 2016,"all",504,20.7944765837766,22.8115151951035,18.9482983618978,704.43309307896,736.121022379262,674.109239566217,0.0287331052839744,0.0318121194461251,0.0259430187610849
Nov 2016,"original",504,20.7944765837766,22.8115151951035,18.9482983618978,704.43309307896,736.121022379262,674.109239566217,0.0287331052839744,0.0318121194461251,0.0259430187610849
Jan 2017,"all",497,27.1442498525364,29.7315367981166,24.7747864991424,577.700204938039,605.761523323704,550.938800064908,0.0449386064270553,0.0497971386269147,0.040544772353412
Jan 2017,"original",497,27.1442498525364,29.7315367981166,24.7747864991424,577.700204938039,605.761523323704,550.938800064908,0.0449386064270553,0.0497971386269147,0.040544772353412
Feb 2017,"all",491,17.4182803834329,18.9625854653709,15.993442701659,515.782293950089,542.695885634957,490.203411881698,0.0322443646327119,0.0355571520555858,0.0292317800399835
Feb 2017,"original",491,17.4182803834329,18.9625854653709,15.993442701659,515.782293950089,542.695885634957,490.203411881698,0.0322443646327119,0.0355571520555858,0.0292317800399835
